Date,Open,High,Low,Close,Adj Close,Volume,MAR
2014-10-09,65.589996,66.190002,64.529999,64.580002,61.967129,3565600,MAR
2014-10-10,64.400002,64.739998,63.119999,63.549999,60.978813,4100400,MAR
2014-10-13,63.549999,63.660000,61.630001,61.709999,59.213264,6500400,MAR
2014-10-14,62.110001,63.880001,62.060001,62.549999,60.019276,5234700,MAR
2014-10-15,61.919998,63.900002,59.610001,62.200001,59.683434,6844700,MAR
2014-10-16,60.720001,63.549999,60.660000,62.790001,60.249561,2919200,MAR
2014-10-17,63.630001,65.339996,63.230000,65.010002,62.379749,3110300,MAR
2014-10-20,64.940002,67.629997,64.900002,67.019997,64.308403,3737000,MAR
2014-10-21,67.580002,68.699997,67.300003,68.419998,65.651787,2820800,MAR
2014-10-22,69.410004,69.629997,68.220001,68.419998,65.651787,2353800,MAR
2014-10-23,69.000000,70.000000,68.339996,68.430000,65.661385,3434800,MAR
2014-10-24,68.400002,69.349998,68.040001,69.290001,66.486572,2363900,MAR
2014-10-27,69.300003,70.400002,69.010002,70.260002,67.417328,2317400,MAR
2014-10-28,69.849998,72.209999,69.230003,71.949997,69.038956,4551100,MAR
2014-10-29,74.000000,75.190002,72.089996,74.029999,71.034782,4337100,MAR
2014-10-30,73.510002,76.309998,73.500000,76.000000,72.925087,3342900,MAR
2014-10-31,77.989998,77.989998,75.209999,75.750000,72.685219,3577300,MAR
2014-11-03,75.910004,76.150002,74.949997,75.800003,72.733192,2427500,MAR
2014-11-04,75.400002,75.589996,74.320000,74.570000,71.552956,3395500,MAR
2014-11-05,75.190002,75.199997,73.940002,74.900002,71.869614,3106700,MAR
2014-11-06,75.070000,75.339996,74.440002,75.250000,72.205437,2331700,MAR
2014-11-07,75.330002,75.550003,74.959999,75.500000,72.445320,1803200,MAR
2014-11-10,75.519997,76.669998,75.330002,76.559998,73.462433,1434600,MAR
2014-11-11,76.800003,77.279999,76.559998,77.139999,74.018974,1463000,MAR
2014-11-12,76.580002,77.500000,76.379997,77.300003,74.172516,1319200,MAR
2014-11-13,77.379997,78.250000,77.330002,78.089996,74.930527,1443300,MAR
2014-11-14,78.089996,78.389999,77.709999,77.959999,74.805794,1456700,MAR
2014-11-17,77.099998,77.739998,76.769997,77.169998,74.047768,2517600,MAR
2014-11-18,76.889999,77.220001,76.510002,76.940002,74.018898,2442900,MAR
2014-11-19,76.980003,77.349998,76.320000,76.379997,73.480171,1783400,MAR
2014-11-20,76.370003,76.410004,75.339996,75.889999,73.008743,2324700,MAR
2014-11-21,76.809998,77.050003,75.910004,75.980003,73.095345,2211300,MAR
2014-11-24,76.470001,77.230003,76.470001,76.970001,74.047768,2092500,MAR
2014-11-25,77.019997,77.300003,76.440002,77.040001,74.115105,4748000,MAR
2014-11-26,76.820000,77.650002,76.769997,77.480003,74.538406,1010900,MAR
2014-11-28,78.330002,79.209999,78.150002,78.790001,75.798653,981200,MAR
2014-12-01,78.500000,78.790001,77.370003,77.449997,74.509529,1903100,MAR
2014-12-02,77.730003,78.190002,77.400002,77.449997,74.509529,2659900,MAR
2014-12-03,77.500000,78.489998,77.199997,78.139999,75.173332,1400200,MAR
2014-12-04,78.000000,79.000000,77.449997,77.940002,74.980919,1499100,MAR
2014-12-05,78.059998,79.190002,77.970001,78.989998,75.991058,1598700,MAR
2014-12-08,79.010002,79.250000,78.500000,78.989998,75.991058,1459600,MAR
2014-12-09,78.080002,78.519997,77.500000,78.370003,75.394608,1669400,MAR
2014-12-10,78.300003,78.459999,77.330002,77.480003,74.538406,1655200,MAR
